fileid,date_cases_IMPUTED,cases_extracted,country_extracted,date_extracted,deaths_extracted,virus_extracted
05-june-2018-ebola-drc-en,,,Congo,2018/5/18,,Ebola
05-june-2018-monkeypox-cameroon-en,,16.0,Cameroon,2018/5/30,0.0,Death and Monkeypox
05-may-2017-hepatitis-e-niger-en,,282.0,Niger,2017/4/12,27.0,Hepatitis E
05-may-2017-unexplained-cluster-of-deaths-liberia-en,,28.0,Angola,2017/4/25,12.0,
05-october-2018-cholera-niger-en,,3692.0,Niger,2018/7/15,68.0,"Vibrio cholerae O1, biotype El Tor, serotype Ogawa"
05-october-2018-cholera-zimbabwe-en,,8535.0,United Republic of Tanzania,2018/9/6,50.0,"Vibrio cholerae O1, biotype El Tor, serotype Ogawa"
05-october-2018-monkeypox-nigeria-en,,269.0,Federal Republic of Nigeria,2017/9/26,7.0,Death and Monkeypox
05-september-2018-ah7n9-china-en,,1567.0,China,2013/3/1,615.0,Avian influenza
06-December-2018-ebola-drc-en,,458.0,Congo,2018/12/4,271.0,Ebola
06-august-2015-mers-saudi-arabia-en,,2.0,Saudi Arabia,2015/7/28,2.0,MERSCoV
06-july-2016-mers-saudi-arabia-en,,13.0,Saudi Arabia,2016/6/21,1.0,MERSCoV
06-july-2017-meningococcal-septicaemia-liberia-en,,31.0,Angola,2017/4/23,13.0,Meningococcal (Group C)
06-july-2017-mers-saudi-arabia-en,,3.0,Saudi Arabia,2017/6/24,2.0,MERSCoV
06-july-2018-ebola-drc-en,,53.0,Congo,2018/7/3,29.0,Ebola
06-june-2015-mers-korea-en,,5.0,North Korea,2015/6/5,1.0,MERSCoV
06-june-2015-mers-saudi-arabia-en,,5.0,Saudi Arabia,2015/6/1,1.0,MERSCoV
06-june-2017-mers-en,,25.0,Saudi Arabia,2017/5/23,6.0,MERSCoV
06-june-2018-ebola-drc-en,,56.0,Congo,2018/5/30,25.0,Ebola
06-june-2019-ebola-drc-en,,2025.0,Congo,2019/6/4,1357.0,Ebola
06-june-2019-polio-cameroon-en,,,Cameroon,2019/5/23,,Poliomyelitis
06-march-2017-yellow-fever-brazil-en,,,Brazil,2017/3/3,,Yellow Fever
06-october-2016-polio-nigeria-en,,3.0,Federal Republic of Nigeria,2016/7/1,0.0,Coronavirus
06-september-2015-mers-jordan-en,,2.0,Jordan,2015/8/31,1.0,MERSCoV
06-september-2015-plague-en,,14.0,Madagascar,2017/8/17,10.0,Yersinia Pestis
07-august-2017-ah7n9-china-en,,3.0,China,2017/7/11,1.0,Avian influenza
07-august-2018-nipah-virus-india-en,,19.0,"Kerala State, India",2018/7/17,17.0,Nipah Virus
07-december-2016-ah5n6-china-en,,2.0,China,2016/11/21,0.0,Avian influenza
07-july-2015-mers-korea-en,,186.0,North Korea,2015/7/7,33.0,MERSCoV
07-june-2017-hepatitis-a-en,,1173.0,"European Region, Americas (Chile, United States)",2016/6/1,0.0,Hepatitis A
07-may-2019-measles-western-pacific-region-en,,,,2019/1/1,,Measles
07-november-2014-mers-en,,12.0,Saudi Arabia,2014/10/27,3.0,MERSCoV
08-august-2018-polio-nigeria-en,,,Federal Republic of Nigeria,2018/6/5,,Poliomyelitis
08-january-2018-mers-cov-malaysia-en,,1.0,Malaysia,2018/1/2,0.0,MERSCoV
08-january-2019-poliovirus-drc-en,,42.0,Congo,2018/10/6,,pentavalent vaccine (PV)
08-july-2015-mers-philippines-en,,1.0,Philippines,2015/7/6,0.0,MERSCoV
08-june-2015-mers-korea-en,,9.0,North Korea,2015/6/6,4.0,MERSCoV
08-june-2016-ah5n6-china-en,,1.0,China,2016/5/30,0.0,Avian influenza
08-june-2017-ah7n9-china-en,,17.0,China,2017/5/19,2.0,Avian influenza
08-november-2018-ebola-drc-en,,308.0,Congo,2018/11/6,189.0,Ebola
08-september-2015-mers-saudi-arabia-en,,22.0,Saudi Arabia,2015/8/26,3.0,MERSCoV
09-March-2018-polio-Somalia-en,,,Somalia,2018/1/4,,pentavalent vaccine (PV)
09-april-2018-listeriosis-australia-en,,20.0,Australia,2018/3/1,7.0,Listeriosis
09-august-2016-chikungunya-kenya-en,,1792.0,United Republic of Tanzania,2016/5/28,0.0,Chikungunya virus disease
09-january-2017-plague-mdg-en,,62.0,Madagascar,2016/12/6,26.0,Yersinia Pestis
09-january-2019-yellow-fever-nigeria-en,,146.0,Federal Republic of Nigeria,2018/11/22,26.0,Yellow Fever
09-june-2015-mers-are-en,,1.0,Saudi Arabia,2015/6/3,449.0,MERSCoV
09-june-2015-mers-korea-en,,14.0,North Korea,2015/6/7,1.0,MERSCoV
09-march-2018-yellow-fever-brazil-en,,723.0,Brazil,2017/7/1,237.0,Yellow Fever
09-may-2017-ah7n9-china-en,,18.0,China,2017/4/30,3.0,Avian influenza
09-october-2014-ebola-en,,1.0,Spain,2014/10/6,0.0,Ebola
09-october-2017-mers-saudi-arabia-en,,9.0,Saudi Arabia,2017/9/26,4.0,MERSCoV
09-september-2015-mers-saudi-arabia-en,,25.0,Saudi Arabia,2015/9/1,544.0,MERSCoV
1-april-2016-microcephaly-france-en,,1.0,French Guiana,2016/3/24,0.0,Zika virus
1-march-2016-zika-st-vincent-and-grenadines-en,,1.0,Saint Vincent and the Grenadines,2016/2/25,0.0,Zika virus
10-august-2015-chikungunya-en,,1.0,Spain,2015/8/3,0.0,Chikungunya virus disease
10-february-2016-avian-influenza-china-en,,28.0,China,2016/2/5,5.0,Avian influenza
10-february-2017-mers-saudi-arabia-en,,17.0,Saudi Arabia,2017/2/3,4.0,MERSCoV
10-july-2015-mers-korea-en,,186.0,North Korea,2015/7/10,35.0,MERSCoV
10-july-2015-mers-philippines-en,,1.0,Philippines,2015/7/6,0.0,MERSCoV
10-july-2015-mers-thailand-en,,1.0,Thailand,2015/6/18,0.0,MERSCoV
10-july-2018-polio-drc-en,,3.0,Congo,2018/2/1,,WPV1
10-march-2016-dengue-uruguay-en,,570.0,Uruguay,2016/3/1,,Dengue Fever
10-march-2016-mers-qatar-en,,1.0,Kuwait,2016/2/21,1.0,MERSCoV
10-march-2016-mers-saudi-arabia-en,,7.0,Saudi Arabia,2016/2/17,0.0,MERSCoV
10-march-2017-lassa-fever-benin-togo-burkina-faso-en,,1.0,Benin,2017/2/20,1.0,Lassa Fever
10-march-2017-mers-saudi-arabia-en,,12.0,Saudi Arabia,2017/2/6,3.0,MERSCoV
10-may-2016-ah5n6-china-en,,1.0,China,2016/5/4,0.0,Avian influenza
10-may-2018-ebola-drc-en,,32.0,Congo,2018/5/8,18.0,Ebola
10-november-2017-mers-oman-en,,1.0,Sultanate of Oman,2017/11/1,0.0,MERSCoV
10-october-2014-marburg-en,,146.0,United Republic of Tanzania,2014/10/5,1.0,Marburg Hemorrhagic Fever
11-april-2016-yellow-fever-drc-en,,151.0,Congo,2016/3/22,21.0,Yellow Fever
11-april-2019-ebola-drc-en,,1186.0,Congo,2019/4/9,751.0,Ebola
11-december-2017-cholera-kenya-en,,3967.0,United Republic of Tanzania,2017/1/1,76.0,Cholera
11-december-2017-cholera-zambia-en,,547.0,Zambia,2017/10/6,15.0,V. cholerae
11-february-2015-mers-are-en,,1.0,Saudi Arabia,2015/2/3,1.0,MERSCoV
11-february-2015-mers-qatar-en,,1.0,Kuwait,2015/2/2,0.0,MERSCoV
11-february-2015-mers-saudi-arabia-en,,10.0,Saudi Arabia,2015/2/4,1.0,MERSCoV
11-february-2019-mers-oman-en,,5.0,Sultanate of Oman,2019/1/27,0.0,MERSCoV
11-february-2019-yellow-fever-brazil-en,,1376.0,Brazil,2016-2019,483.0,Yellow Fever
11-january-2016-avian-influenza-china-en,,2.0,China,2016/1/8,1.0,Avian influenza
11-june-2015-mers-saudi-arabia-en,,8.0,Saudi Arabia,2015/6/8,4.0,MERSCoV
11-june-2018-ebola-en,,,Congo,2018/5/5,,Ebola
11-june-2018-measles-brazil-en,,995.0,Brazil,2018/1/1,2.0,Measles
11-march-2015-avian-influenza-china-en,,59.0,China,2015/3/9,17.0,Avian influenza
11-march-2015-mers-qatar-en,,1.0,Kuwait,2015/3/9,394.0,MERSCoV
11-march-2015-mers-saudi-arabia-en,,18.0,Saudi Arabia,2015/2/26,5.0,MERSCoV
11-november-2015-zika-en,,2.0,The Netherlands,2015/11/2,0.0,Zika virus
11-november-2016-mers-saudi-arabia-en,,13.0,Saudi Arabia,2016/10/15,4.0,MERSCoV
11-october-2018-ebola-drc-en,,194.0,Congo,2018/10/9,122.0,Ebola
11-september-2015-cholera-en,,971.0,United Republic of Tanzania,2015/8/25,13.0,V. cholerae
12-april-2016-zika-viet-nam-en,,2.0,Viet Nam,2016/4/5,0.0,Zika virus
12-august-2015-mers-saudi-arabia-en,,17.0,Saudi Arabia,Between 3 and 9 August 2015,3.0,MERSCoV
12-february-2015-avian-influenza-en,,1.0,China,2015/2/9,1.0,Avian influenza
12-february-2016-gbs-colombia-venezuela-en,,,"Colombia, Venezuela",2016/1/30,,Zika virus
12-february-2016-microcephaly-usa-en,,1.0,United States,2016/1/16,0.0,Zika virus
12-february-2016-yellow-fever-angola-en,,164.0,Angola,2016/1/21,37.0,Yellow Fever
12-february-2016-zika-usa-en,,2.0,United States,2016/2/5,0.0,Zika virus
12-january-2018-cholera-tanzania-en,,33421.0,United Republic of Tanzania,2015/8/15,542.0,Cholera
12-july-2017-cholera-nigeria-en,,1558.0,Federal Republic of Nigeria,2017/6/7,11.0,Cholera
12-july-2017-hepatitis-e-nigeria-en,,146.0,Federal Republic of Nigeria,2017/6/18,2.0,Hepatitis E
12-june-2015-measles-en,,5.0,Ecuador,2015/6/10,0.0,Measles
12-june-2015-mers-korea-en,,126.0,North Korea,2015/6/12,11.0,MERSCoV
12-november-2015-dengue-en,,253.0,Egypt,2015/10/27,0.0,Dengue Fever
12-october-2015-cholera-en,,1263.0,Iraq,2021/10/8,,V. cholerae
12-october-2015-mers-jordan-en,,1.0,Jordan,2015/10/7,0.0,MERSCoV
12-october-2015-mers-saudi-arabia-en,,1.0,Saudi Arabia,2015/9/27,3.0,MERSCoV
12-october-2015-polio-en,,1.0,Lao People's Democratic Republic,2015/10/8,1.0,pentavalent vaccine (PV)
12-september-2017-mers-oman-en,,1.0,Sultanate of Oman,2017/8/30,0.0,MERSCoV
12-september-2018-mers-republic-of-korea-en,,,North Korea,2018/9/8,,MERSCoV
13-December-2018-ebola-drc-en,,505.0,Congo,2018/12/11,296.0,Ebola
13-June-2017-polio-drc-en,,2.0,Congo,2017/2/20,0.0,WPV1
13-June-2017-polio-syrian-arab-republic-en,,58.0,Egypt,2017/3/5,,WPV1
13-april-2016-yellow-fever-angola-en,,1708.0,Angola,2016/1/21,238.0,Yellow Fever
13-december-2017-diphtheria-bangladesh-en,,804.0,People's Republic of Bangladesh,2017/11/3,15.0,Diphtheria
13-february-2015-measles-en,,121.0,United States,2015/1/1,0.0,Measles
13-february-2015-mers-en,,1.0,Philippines,2015/2/12,0.0,MERSCoV
13-january-2017-yellow-fever-brazil-en,,110.0,Brazil,2017/1/6,30.0,Yellow Fever
13-june-2016-lassa-fever-benin-en,,54.0,Benin,2016/1/25,28.0,Lassa Fever
13-june-2017-mers-saudi-arabia-en,,35.0,Saudi Arabia,2017/6/1,3.0,MERSCoV
13-june-2018-ebola-drc-en,,55.0,Congo,2018/5/10,28.0,Ebola
13-june-2019-ebola-drc-en,,2084.0,Congo,2019/6/11,1405.0,Ebola
13-june-2019-ebola-uganda-en,,3.0,United Republic of Tanzania,2019/6/11,2.0,Ebola
13-march-2015-nigeria-en,,652.0,Federal Republic of Nigeria,2015/1/26,50.0,Meningitis
13-may-2015-ebola-en,,1.0,Italy,2015/5/12,0.0,Ebola
13-may-2017-ebola-drc-en,,9.0,Congo,2017/5/9,3.0,Bundibugyo ebolavirus (BEBOV)
13-may-2019-rift-valley-fever-mayotte-france-en,,129.0,Mayotte,2019/1/4,109.0,Rift Valley Fever
13-november-2014-legionellosis-en,,302.0,Portugal,2014/11/9,5.0,Legionellosis
13-november-2014-marburg-en,,197.0,United Republic of Tanzania,2014/11/11,1.0,Marburg Hemorrhagic Fever
13-november-2015-avian-influenza-china-en,,2.0,China,2015/11/11,,Avian influenza
13-november-2015-mers-saudi-arabia-en,,7.0,Saudi Arabia,2015/10/26,1.0,MERSCoV
13-november-2015-zika-en,,4.0,The Netherlands,2015/11/12,0.0,Zika virus
13-october-2016-monkeypox-caf-en,,26.0,Congo,2016/9/6,3.0,Death and Monkeypox
13-september-2017-ah7n9-china-en,,4.0,China,2017/8/18,3.0,Avian influenza
14-April-2015-avian-influenza-china-en,,20.0,China,2015/4/10,4.0,Avian influenza
14-May-2015-avian-influenza-china-en,,6.0,China,2015/5/9,2.0,Avian influenza
14-april-2016-mers-saudi-arabia-en,,16.0,Saudi Arabia,2016/3/18,6.0,MERSCoV
14-august-2018-ebola-drc-en,,,Congo,2018/8/1,,Ebola
14-february-2019-lassa-fever-nigeria-en,,327.0,Federal Republic of Nigeria,2019/1/1,72.0,Lassa Fever
14-july-2015-avian-influenza-en,,1.0,China,2015/7/11,1.0,Avian influenza
14-july-2015-mers-korea-en,,186.0,North Korea,2015/7/14,36.0,MERSCoV
14-june-2016-chikungunya-usa-en,,1.0,United States,2016/6/2,0.0,Chikungunya virus disease
14-june-2016-yellow-fever-angola-en,,3137.0,Angola,2016/1/21,345.0,Yellow Fever
14-june-2018-cholera-cameroon-en,,3.0,Cameroon,2018/5/18,0.0,Cholera
14-march-2016-chikungunya-argentina-en,,1281.0,Argentina,2016/3/7,0.0,Chikungunya virus disease
14-march-2016-mers-saudi-arabia-en,,25.0,Saudi Arabia,2016/2/26,4.0,MERSCoV
14-may-2018-ebola-drc-en,,39.0,Congo,2018/5/10,19.0,Ebola
14-november-2014-polio-en,,2.0,Sudan (W Equatoria),2014/9/9,0.0,WPV1
14-september-2015-chikungunya-en,,10.0,Cameroon,2015/9/8,,Chikungunya virus disease
14-september-2018-cholera-algeria-en,,217.0,Algeria,2018/8/23,2.0,Cholera
14-september-2018-ebola-drc-en,,137.0,Congo,2018/9/12,92.0,Ebola
15-april-2016-zika-chile-en,,2.0,Ecuador,2016/3/26,0.0,Zika virus
15-december-2014-wnv-en,,1.0,Brazil,2014/12/9,0.0,West Nile Disease
15-december-2015-cholera-drc-en,,19705.0,Congo,2019/11/29,,Cholera
15-december-2015-microcephaly-brazil-en,,1761.0,Brazil,2015/12/8,19.0,
15-december-2015-polio-lao-en,,5.0,Lao People's Democratic Republic,2015/12/8,,WPV1
15-january-2015-mers-en,,3.0,Saudi Arabia,2015/1/3,1.0,MERSCoV
15-january-2018-hepatitis-e-namibia-en,,237.0,Angola,2017/10/13,1.0,Hepatitis E
15-june-2015-avian-influenza-china-en,,15.0,China,2015/6/12,3.0,Avian influenza
15-march-2017-ah7n9-china-en,,58.0,Hong Kong Special Administrative Region of China,2017/2/24,11.0,Avian influenza
15-march-2018-mers-oman-en,,1.0,Sultanate of Oman,2018/3/4,,MERSCoV
15-may-2015-niger-en,,6179.0,Niger,2015/1/1,423.0,Meningococcal (Group C)
15-november-2017-marburg-uganda-kenya-en,,3.0,United Republic of Tanzania,2017/10/17,3.0,Marburg Hemorrhagic Fever
15-november-2017-plague-madagascar-en,,2119.0,Madagascar,2017/8/1,171.0,Yersinia Pestis
15-november-2018-ebola-drc-en,,341.0,Congo,2018/11/13,215.0,Ebola
15-october-2017-plague-seychelles-en,,10.0,Madagascar,2017/8/1,0.0,Yersinia Pestis
15-october-2018-chikungunya-sudan-en,,13978.0,Egypt,2018/5/31,0.0,Chikungunya virus disease
15-september-2017-chikungunya-italy-en,,14.0,Italy,2017/8/5,0.0,Chikungunya virus disease
16-april-2015-mers-saudi-arabia-en,,4.0,Saudi Arabia,2015/4/12,2.0,MERSCoV
16-february-2015-mers-saudi-arabia-en,,5.0,Saudi Arabia,2015/2/5,1.0,MERSCoV
16-january-2015-mers-oman-en,,2.0,Sultanate of Oman,2015/1/7,1.0,MERSCoV
16-june-2015-mers-are-en,,1.0,Saudi Arabia,2015/6/15,458.0,MERSCoV
16-june-2015-mers-korea-en,,154.0,North Korea,2015/6/16,19.0,MERSCoV
16-june-2015-mers-saudi-arabia-en,,3.0,Saudi Arabia,2015/6/11,1.0,MERSCoV
16-march-2016-mers-saudi-arabia-en,,7.0,Saudi Arabia,2016/3/9,2.0,MERSCoV
16-march-2017-ah7n9-china-en,,26.0,China,2017/3/10,3.0,Avian influenza
16-may-2016-mers-qatar-en,,1.0,Kuwait,2016/5/4,0.0,MERSCoV
16-may-2016-mers-saudi-arabia-en,,4.0,Saudi Arabia,2016/5/5,1.0,MERSCoV
16-may-2019-ebola-drc-en,,1739.0,Congo,2019/5/14,1147.0,Ebola
16-may-2019-monkeypox-singapore-en,,1.0,Singapore,2019/5/9,0.0,Death and Monkeypox
16-november-2015-acute-respiratory-syndrome-en,,84.0,North Korea,2015/10/29,0.0,
16-october-2014-mers-en,,7.0,Saudi Arabia,2014/10/11,1.0,MERSCoV
16-september-2016-mers-saudi-arabia-en,,8.0,Saudi Arabia,2016/8/18,2.0,MERSCoV
17-May-2018-polio-somalia-kenya-en,,,Somalia,2018/3/8,,pentavalent vaccine (PV)
17-august-2016-ah7n9-china-en,,5.0,China,2016/8/11,1.0,Avian influenza
17-august-2017-mers-saudi-arabia-en,,26.0,Saudi Arabia,2017/7/4,6.0,MERSCoV
17-august-2018-ebola-drc-en,,78.0,Congo,2018/8/1,44.0,Ebola
17-december-2014-mers-en,,11.0,Saudi Arabia,2014/11/20,4.0,MERSCoV
17-december-2015-avian-influenza-china-en,,2.0,China,2015/12/11,,Avian influenza
17-january-2017-ah7n9-china-en,,106.0,China,2017/1/5,35.0,Avian influenza
17-january-2017-mers-saudi-arabia-en,,15.0,Saudi Arabia,2016/12/31,5.0,MERSCoV
17-january-2019-measles-madagascar-en,,19539.0,Madagascar,2018/10/4,39.0,Measles
17-july-2015-mers-korea-en,,186.0,North Korea,2015/7/17,36.0,MERSCoV
17-march-2015-uganda-en,,1940.0,United Republic of Tanzania,2015/2/24,,Salmonella pullorum
17-may-2015-mers-saudi-arabia-en,,5.0,Saudi Arabia,2015/5/4,1.0,MERSCoV
17-may-2016-ah7n9-china-en,,11.0,China,2016/5/10,4.0,Avian influenza
17-may-2018-ebola-drc-en,,44.0,Congo,2018/5/15,23.0,Ebola
17-may-2019-mers-saudi-arabia-en,,9.0,Saudi Arabia,2019/4/30,3.0,MERSCoV
17-november-2016-ah7n9-china-en,,800.0,China,2016/11/11,,Avian influenza
17-september-2014-enterovirus-en,,130.0,United States,2014/9/10,,Enterovirus Infection
17-september-2015-chikungunya-en,,1.0,Spain,2015/8/3,0.0,Chikungunya virus disease
17-september-2015-mers-saudi-arabia-en,,,Saudi Arabia,"Between 6 and 11 September 2015 cases: 22 additional cases of MERS-CoV infection reported, including 5 deaths",,MERSCoV
17-september-2015-wnv-en,,1.0,Portugal,2015/9/14,0.0,West Nile Disease
18-December-2018-yellowfever-netherlands-en,,1.0,Federal Republic of Nigeria,2018/11/22,0.0,Yellow Fever
18-april-2017-ah7n9-china-en,,14.0,China,2017/4/7,1.0,Avian influenza
18-april-2019-yellow-fever-brazil-en,,75.0,Brazil,2018-2019,17.0,Yellow Fever
18-august-2015-mers-saudi-arabia-en,,12.0,Saudi Arabia,2015/8/10,1.0,MERSCoV
18-january-2017-ah7n9-china-en,,2.0,Macao Special Administrative Region (SAR) (China),2017/1/11,0.0,Avian influenza
18-july-2015-avian-influenza-china-en,,5.0,China,2015/7/16,3.0,Avian influenza
18-june-2018-mers-saudi-arabia-en,,75.0,Saudi Arabia,2018/1/12,23.0,MERSCoV
18-june-2018-rift-valley-fever-kenya-en,,26.0,United Republic of Tanzania,2018/6/8,6.0,Rift Valley Fever
18-march-2016-mers-saudi-arabia-en,,6.0,Saudi Arabia,2016/3/11,3.0,MERSCoV
18-may-2015-mers-are-en,,1.0,Saudi Arabia,2015/5/13,0.0,MERSCoV
18-may-2016-lassa-fever-liberia-en,,38.0,Angola,2016/1/1,15.0,Lassa Fever
18-may-2017-ah7n9-china-en,,24.0,China,2017/5/5,9.0,Avian influenza
18-november-2014-avian-influenza-en,,3.0,China,2014/11/15,1.0,Avian influenza
18-november-2016-dengue-burkina-faso-en,,1061.0,Burkina Faso,2016/8/5,15.0,Dengue Fever
18-october-2018-ebola-drc-en,,220.0,Congo,2018/10/16,,Ebola
18-september-2015-mers-jordan-en,,5.0,Jordan,2015/9/7,2.0,MERSCoV
19-december-2016-1-ah7n9-china-en,,6.0,China,2016/12/12,0.0,Avian influenza
19-december-2016-1-mers-saudi-arabia-en,,12.0,Saudi Arabia,2016/12/5,2.0,MERSCoV
19-december-2016-2-ah7n9-china-en,,1.0,Macao Special Administrative Region (SAR) (China),2016/12/14,0.0,Avian influenza
19-december-2016-2-mers-saudi-arabia-en,,10.0,Saudi Arabia,2016/12/6,3.0,MERSCoV
19-december-2017-mers-saudi-arabia-en,,18.0,Saudi Arabia,2017/10/31,5.0,MERSCoV
19-february-2016-lassa-fever-benin-en,,71.0,Benin,2016/1/25,23.0,Lassa Fever
19-february-2018-cholera-mozambique-en,,1799.0,Mozambique,2017/10/27,1.0,Cholera
19-january-2015-avian-influenza-en,,15.0,China,2015/1/13,3.0,Avian influenza
19-january-2016-avian-influenza-china-en,,10.0,China,2016/1/11,3.0,Avian influenza
19-july-2017-ah7n9-china-en,,1554.0,China,2017/6/19,2.0,Avian influenza
19-july-2017-dengue-sri-lanka-en,,80732.0,Sri Lanka,2017/1/1,215.0,Dengue Fever
19-june-2015-mers-korea-en,,166.0,North Korea,2015/6/19,24.0,MERSCoV
19-june-2016-mers-saudi-arabia-en,,6.0,Saudi Arabia,2016/5/15,1.0,MERSCoV
19-june-2017-mers-saudi-arabia-en,,14.0,Saudi Arabia,2017/6/11,1.0,MERSCoV
19-may-2016-hf-south-sudan-en,,51.0,Sudan (W Equatoria),2016/5/9,10.0,
19-october-2015-avian-influenza-china-en,,2.0,China,2015/10/14,,Avian influenza
1996_01_22a-en,,12344.0,Cap Verde,1995/11/5,245.0,Cholera
1996_01_22b-en,,,,1995/11/15,,Dengue Fever
1996_01_22c-en,,3.0,Cameroon,1996/1/22,0.0,Ebola
1996_01_22d-en,,1106.0,Brazil,1995/12/28,,Meningitis
1996_01_22e-en,,910.0,Algeria,1996/1/22,1.0,Typhoid fever
1996_01_22f-en,,2300.0,Burundi,1996/1/22,,
1996_02_02-en,,359.0,Angola,1995/12/19,9.0,Yellow Fever
1996_02_05-en,,367.0,,1995/1/1,5.0,HendraVirus
1996_02_08-en,,,,1996/2/8,,
1996_02_15-en,,,Burkina Faso,1996/2/15,,Cholera
1996_02_19a-en,,1138.0,Burkina Faso,1996/2/19,57.0,Meningitis
1996_02_19b-en,,20.0,Congo,1996/2/19,13.0,Ebola
